case_id,cores,baseline_B,old_M,old_B_over_M,new_M,new_B_over_M,delta_B_over_M,old_extra_ddr_bytes,new_extra_ddr_bytes,delta_extra_ddr_bytes,old_spill_bytes,new_spill_bytes,old_solver_wall_s,new_solver_wall_s,old_E0_wall_s,new_E0_wall_s,old_route,new_route,new_active_cores,new_feed,new_feed_sha256
020,3,532746,180314,2.9545459587164613,180314,2.9545459587164613,0.0,0,0,0,0,0,0.2892768750025425,0.386904584011063,1.1526502920023631,1.0872453339979984,component_envelope,component_envelope,3,s01/board-feed-020-k3.json,13b41a7c9c59810754ac502b44307025969e26708556d07bfd8d8aecda6127db
020,4,532746,146116,3.6460483451504286,146116,3.6460483451504286,0.0,0,0,0,0,0,0.28642883300199173,0.4423232090193778,0.846008124994114,1.1341973750095349,component_envelope,component_envelope,4,s01/board-feed-020-k4.json,ef3ddf03d491113f323fc469a90a9ec39f439bcba83edc856b124606c8a886a3
020,5,532746,110112,4.838219267654751,110112,4.838219267654751,0.0,0,0,0,0,0,0.28416708298027515,0.47028904198668897,0.8460103749821428,1.1528978749993257,component_envelope,component_envelope,5,s01/board-feed-020-k5.json,92fb8a521777c8456314b577c862b7f9459bd727949804385573e03fe15b9920
021,1,6567937,6560801,1.0010876720693098,6560801,1.0010876720693098,0.0,6881280,6881280,0,6881280,6881280,0.2876337500056252,0.32935070898383856,0.8460726669873111,1.0562140420079231,component_envelope,component_envelope,1,s01/board-feed-021-k1.json,dd28de4aa8844ec73fe5156a5be3c6bc32cdf9968cfb41de7744d95f3636cc71
021,2,6567937,3253018,2.0190287911102858,3253018,2.0190287911102858,0.0,7925760,7925760,0,6389760,6389760,0.28937808398040943,0.3432448329986073,0.8378437919891439,0.8977302910061553,component_envelope,component_envelope,2,s01/board-feed-021-k2.json,488f505c306ec3351f0129b6b291f8f7176c848939c9a5727f60c25b523f8b3a
021,3,6567937,2170286,3.0263002203396234,2170286,3.0263002203396234,0.0,10002432,10002432,0,5292032,5292032,0.28182454098714516,0.33429820800665766,0.8500486669945531,0.9622125420137309,component_envelope,component_envelope,3,s01/board-feed-021-k3.json,c15c3cc5a27dd95706596e4a7980e0c372502412fd7b2b4b95ec5d6ee6ca938a
021,4,6567937,1605196,4.091672917201389,1605196,4.091672917201389,0.0,9940992,9940992,0,5332992,5332992,0.28654199998709373,0.3693009160051588,0.8399924999976065,0.9105620829795953,component_envelope,component_envelope,4,s01/board-feed-021-k4.json,b4c41d0245bd9282be3491e7c9f0d40d28f096883fc9fd29fcb0d7cca700a2b5
021,5,6567937,1272517,5.161374661399416,1272517,5.161374661399416,0.0,13025280,13025280,0,3604480,3604480,0.28315695899073035,0.31325308402301744,0.8486360830138437,0.7941478750144597,component_envelope,component_envelope,5,s01/board-feed-021-k5.json,ff0833b37c259e802e50d05dd753ee2b960356474438e57047f72afe4d2cb099
022,1,56780,54123,1.0490918833028473,54123,1.0490918833028473,0.0,0,0,0,0,0,0.28522858300129883,0.24630137500935234,0.2797909590008203,0.30937379199895076,component_envelope,component_envelope,1,s01/board-feed-022-k1.json,6741389a2ceb7906bac05bd3239e3a3d1cbc06c35dfb72ad2db1273315b60313
022,2,56780,27951,2.0314121140567423,27951,2.0314121140567423,0.0,6912,6912,0,0,0,0.2907640000048559,0.2344793340016622,0.28596641699550673,0.304659667017404,component_envelope,component_envelope,2,s01/board-feed-022-k2.json,1360af65124312df3c14c685d32c43d713b931faa2058f596a1753919e248100
