case,cores,baseline_cycles,cache_cycles,no_cache_cycles,cache_speedup,no_cache_speedup,cache_gain,attempt_id,revision
077,2,495320.0,226575.0,230171.0,2.186119386516606,2.1519652779889733,1.01587112435176,q3-witness-full500-20260925-s59-s03-P3-077-k2-unified-attention-witness-e0,2
079,2,31052251.0,14960916.0,14960916.0,2.0755581409587487,2.0755581409587487,1.0,q3-witness-full500-20260925-s59-s03-P3-079-k2-unified-attention-witness-e0,2
081,2,151795.0,76938.0,76938.0,1.9729522472640308,1.9729522472640308,1.0,q3-witness-full500-20260925-s59-s03-P3-081-k2-unified-attention-witness-e0,2
083,3,1057993.0,286012.0,286046.0,3.6991210159014307,3.6986813309747384,1.0001188761310715,q3-witness-full500-20260925-s59-s03-P3-083-k3-unified-attention-witness-e0,2
085,3,3187899.0,898379.0,900154.0,3.5485012450201974,3.541504009313962,1.0019757808230156,q3-witness-full500-20260925-s59-s03-P3-085-k3-unified-attention-witness-e0,2
087,3,3974071.0,1230405.0,1241187.0,3.2298885326376277,3.2018309892063,1.0087629682909287,q3-witness-full500-20260925-s59-s03-P3-087-k3-unified-attention-witness-e0,2
089,3,693092.0,208450.0,208450.0,3.3249796114176062,3.3249796114176062,1.0,q3-witness-full500-20260925-s59-s03-P3-089-k3-unified-attention-witness-e0,2
091,3,9186769.0,3013103.0,3018433.0,3.048939581554298,3.043555712517058,1.0017689405241041,q3-witness-full500-20260925-s59-s03-P3-091-k3-unified-attention-witness-e0,2
093,3,74205.0,25103.0,25103.0,2.956021192686133,2.956021192686133,1.0,q3-witness-full500-20260925-s59-s03-P3-093-k3-unified-attention-witness-e0,2
095,3,2084853.0,357591.0,357591.0,5.830272573974177,5.830272573974177,1.0,q3-witness-full500-20260925-s59-s03-P3-095-k3-unified-attention-witness-e0,2
097,3,11491509.0,3675188.0,3675174.0,3.1267812694207753,3.1267931804045195,0.9999961906710623,q3-witness-full500-20260925-s59-s03-P3-097-k3-unified-attention-witness-e0,2
099,3,1622999.0,534646.0,534799.0,3.035651627431983,3.034783161524236,1.000286170662457,q3-witness-full500-20260925-s59-s03-P3-099-k3-unified-attention-witness-e0,2
062,5,2854809.0,588101.0,588101.0,4.854283532930568,4.854283532930568,1.0,q3-witness-full500-20260925-s59-s04-P3-062-k5-unified-attention-witness-e0,2
003,1,602212.0,442629.0,442629.0,1.360534443066315,1.360534443066315,1.0,q3-witness-full500-20260925-s59-s04-P3-003-k1-unified-attention-witness-e0,2
005,1,95618.0,73504.0,73504.0,1.300854375272094,1.300854375272094,1.0,q3-witness-full500-20260925-s59-s04-P3-005-k1-unified-attention-witness-e0,2
007,1,1012562.0,979262.0,979262.0,1.0340051998341608,1.0340051998341608,1.0,q3-witness-full500-20260925-s59-s04-P3-007-k1-unified-attention-witness-e0,2
009,1,153261.0,121941.0,121978.0,1.2568455236548823,1.2564642804440145,1.0003034254270509,q3-witness-full500-20260925-s59-s04-P3-009-k1-unified-attention-witness-e0,2
011,1,184697.0,184697.0,184697.0,1.0,1.0,1.0,q3-witness-full500-20260925-s59-s04-P3-011-k1-unified-attention-witness-e0,2
013,1,263949.0,263949.0,263949.0,1.0,1.0,1.0,q3-witness-full500-20260925-s59-s04-P3-013-k1-unified-attention-witness-e0,2
015,1,177362.0,112496.0,114569.0,1.5766071682548712,1.5480801962136355,1.0184273218603328,q3-witness-full500-20260925-s59-s04-P3-015-k1-unified-attention-witness-e0,2
017,1,162810.0,111608.0,111608.0,1.4587663966740736,1.4587663966740736,1.0,q3-witness-full500-20260925-s59-s04-P3-017-k1-unified-attention-witness-e0,2
019,1,81144.0,51676.0,51676.0,1.570245375029027,1.570245375029027,1.0,q3-witness-full500-20260925-s59-s04-P3-019-k1-unified-attention-witness-e0,2
021,1,6567937.0,6349969.0,6349969.0,1.0343258368662902,1.0343258368662902,1.0,q3-witness-full500-20260925-s59-s04-P3-021-k1-unified-attention-witness-e0,2
